time,Time,Referencevalues 
2022-11-02T12:52:36+05:30,12:52:36,396
2022-11-02T12:53:27+05:30,12:53:27,842
2022-11-02T12:54:18+05:30,12:54:18,856
2022-11-02T12:55:08+05:30,12:55:08,760
2022-11-02T12:56:00+05:30,12:56:00,654
2022-11-02T12:56:51+05:30,12:56:51,604
2022-11-02T12:57:42+05:30,12:57:42,598
2022-11-02T12:58:34+05:30,12:58:34,594
2022-11-02T12:59:24+05:30,12:59:24,566
2022-11-02T13:00:16+05:30,13:00:16,570
2022-11-02T13:01:07+05:30,13:01:07,594
2022-11-02T13:02:02+05:30,13:02:02,582
2022-11-02T13:02:53+05:30,13:02:53,564
2022-11-02T13:03:44+05:30,13:03:44,574
2022-11-02T13:05:28+05:30,13:05:28,576
2022-11-02T13:06:22+05:30,13:06:22,562
2022-11-02T13:07:13+05:30,13:07:13,582
2022-11-02T13:08:04+05:30,13:08:04,590
2022-11-02T13:08:55+05:30,13:08:55,590
2022-11-02T13:09:46+05:30,13:09:46,592
2022-11-02T13:10:37+05:30,13:10:37,584
2022-11-02T13:11:28+05:30,13:11:28,588
2022-11-02T13:12:18+05:30,13:12:18,586
2022-11-02T13:13:09+05:30,13:13:09,588
2022-11-02T13:14:02+05:30,13:14:02,588
2022-11-02T13:14:53+05:30,13:14:53,606
2022-11-02T13:15:46+05:30,13:15:46,594
2022-11-02T13:16:37+05:30,13:16:37,590
2022-11-02T13:17:27+05:30,13:17:27,592
2022-11-02T13:18:18+05:30,13:18:18,606
2022-11-02T13:19:09+05:30,13:19:09,592
2022-11-02T13:20:00+05:30,13:20:00,594
2022-11-02T13:20:51+05:30,13:20:51,578
2022-11-02T13:21:41+05:30,13:21:41,580
2022-11-02T13:22:32+05:30,13:22:32,584
2022-11-02T13:23:23+05:30,13:23:23,598
2022-11-02T13:24:14+05:30,13:24:14,594
2022-11-02T13:25:05+05:30,13:25:05,606
2022-11-02T13:25:55+05:30,13:25:55,592
2022-11-02T13:26:46+05:30,13:26:46,592
2022-11-02T13:27:37+05:30,13:27:37,592
2022-11-02T13:28:28+05:30,13:28:28,586
2022-11-02T13:29:19+05:30,13:29:19,586
2022-11-02T13:30:10+05:30,13:30:10,590
2022-11-02T13:31:00+05:30,13:31:00,594
2022-11-02T13:31:51+05:30,13:31:51,604
2022-11-02T13:32:42+05:30,13:32:42,604
2022-11-02T13:33:33+05:30,13:33:33,606
2022-11-02T13:34:24+05:30,13:34:24,586
2022-11-02T13:35:14+05:30,13:35:14,598
2022-11-02T13:36:05+05:30,13:36:05,606
2022-11-02T13:36:56+05:30,13:36:56,606
2022-11-02T13:37:47+05:30,13:37:47,592
2022-11-02T13:38:38+05:30,13:38:38,586
2022-11-02T13:39:28+05:30,13:39:28,596
2022-11-02T13:40:19+05:30,13:40:19,582
2022-11-02T13:41:10+05:30,13:41:10,592
2022-11-02T13:42:01+05:30,13:42:01,604
2022-11-02T13:42:52+05:30,13:42:52,604
2022-11-02T13:43:42+05:30,13:43:42,600
2022-11-02T13:44:33+05:30,13:44:33,606
2022-11-02T13:45:24+05:30,13:45:24,600
2022-11-02T13:46:15+05:30,13:46:15,604
